CREATE TABLE ExitDB(ExitDBID int Primary Key not Null, ExitDB_RoomID int not null, Direction text not null, DestinationID int not null, ExitDB_Blocked int not null, DirectionText text not null, DirectionPuzzleText text null);
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(1, 1, 'North', 2, 1, 'Enter Cell Hallway', 'The door is locked shut.');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(2, 2, 'South39', 1, 0, 'enters cell 39', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(3, 2, 'LEFT', 7, 0, 'You move away from the sound of the zombies. You come to a door at the end of the hall and quietly slip through. Enter the Bathroom.', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(4, 2, 'RIGHT', 5, 0, 'You move towards the sound of the zombie. As you walk down the hall, you find the source of the noise, your old cell mate. You ignore them abd trudge on to a door at the end of the hall and quietly slip through. Enter the cafeteria', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(5, 2, 'South38', 3, 0, 'enters cell 38', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(6, 2, 'South37', 4, 0, 'enters cell 37', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(7, 2, 'North', 8, 1, ' ', 'a locked door leading to the cell block ExitDB room');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(8, 3, 'North', 2, 0, 'returns to the cell block d hallway', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(9, 4, 'North', 2, 0, 'North will take you back to the cell block', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(10, 5, 'LEFT', 2, 0, 'leaves the cafeteria', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(11, 5, 'SOUTH', 6, 0, 'enters the kitchen', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(12, 6, 'North', 5, 0, ' ', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(13, 7, 'RIGHT', 2, 0, 'leaves the Bathroom', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(14, 8, 'NORTH', 30, 0, 'the courtyard', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(15, 8, 'SOUTH', 2, 0, 'back to block d', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(16, 9, 'EAST', 10, 0, 'goes to cell block c hallway', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(17, 9, 'WEST', 30, 0, ' ', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(18, 10, 'WEST', 9, 0, 'Goes Back to the ExitDB Room', '');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(19, 10, 'EAST', 14, 1, 'Goes to the recreational room', 'You try to enter the rec room but the door is locked tight. You decide that theres probably something else in this Block that can help you out getting this door open');
INSERT INTO ExitDB(ExitDBID, ExitDB_RoomID, Direction, DestinationID, ExitDB_Blocked, DirectionText, DirectionPuzzleText) Values(20, 10, 'SOUTH30', 11, 0, 'Goes to Cell 30', '');
